epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6661,2.14195,7.12403,1.66443,0,0,0,0,1.76472,6.97862,1.65357,0.00331723,0.00331723,0.00331723
2,176.745,1.33415,6.76767,1.18352,0.00285,0.00545,0.00176,0.0013,1.31481,6.60142,1.25578,0.00658472,0.00658472,0.00658472
3,271.17,1.43066,5.67342,1.18926,0.00287,0.06207,0.00312,0.00095,2.4755,5.76576,1.89896,0.00978622,0.00978622,0.00978622
4,367.108,1.42418,3.7124,1.24609,0.00199,0.21809,0.0077,0.0013,3.71529,4.40023,3.40031,0.009703,0.009703,0.009703
5,468.506,1.2519,3.32277,1.1986,0.08607,0.04947,0.00205,0.00034,4.28311,5.37495,2.73802,0.009604,0.009604,0.009604
6,574.062,1.16885,3.23282,1.16892,0.6988,0.01617,0.00363,0.00095,4.09259,7.83144,3.13142,0.009505,0.009505,0.009505
7,656.937,1.13485,3.18278,1.15448,0,0.00022,0,0,5.31627,5.77253,4.18545,0.009406,0.009406,0.009406
8,750.837,1.1063,3.12925,1.14418,0.67514,0.03437,0.0164,0.00757,3.20257,5.64782,2.27607,0.009307,0.009307,0.009307
9,858.41,1.08196,3.07648,1.13413,0.60179,0.00307,0.00398,0.00107,4.88123,8.31869,3.76279,0.009208,0.009208,0.009208
10,968.052,1.05841,3.03036,1.1254,0.61668,0.07205,0.06245,0.02264,2.87565,4.66606,2.22461,0.009109,0.009109,0.009109
11,1084.78,1.04841,2.99302,1.1215,0.5793,0.0566,0.0205,0.00675,4.03589,7.83182,2.95747,0.00901,0.00901,0.00901
12,1185.81,1.02384,2.94961,1.11088,0.71432,0.07357,0.0534,0.02211,2.60068,5.01444,2.00612,0.008911,0.008911,0.008911
13,1289.46,1.02145,2.90277,1.11272,0.6833,0.03934,0.02825,0.00793,3.96818,6.82962,3.18118,0.008812,0.008812,0.008812
14,1391.79,1.00736,2.87231,1.10773,0.54046,0.01581,0.01048,0.00252,4.59757,9.40749,3.44972,0.008713,0.008713,0.008713
15,1478.74,0.99733,2.83823,1.10219,0.54491,0.20216,0.18477,0.12158,1.50025,3.6163,1.48945,0.008614,0.008614,0.008614
16,1567.76,0.99351,2.80663,1.10272,0.5658,0.15897,0.10785,0.04874,2.46593,5.95205,1.99515,0.008515,0.008515,0.008515
17,1653.78,0.96833,2.76463,1.09025,0.36899,0.13643,0.09492,0.03272,3.25235,4.41641,2.35307,0.008416,0.008416,0.008416
18,1737.66,0.97442,2.7473,1.09192,0.30932,0.21968,0.1595,0.08071,2.27744,3.42097,1.95285,0.008317,0.008317,0.008317
19,1820.17,0.96625,2.70935,1.08836,0.46306,0.27208,0.26928,0.1368,2.11092,2.9497,1.68605,0.008218,0.008218,0.008218
20,1918.95,0.94408,2.68567,1.08014,0.20403,0.06313,0.04259,0.01134,4.23698,8.13293,2.97171,0.008119,0.008119,0.008119
21,2002.27,0.94426,2.65003,1.08326,0.39917,0.30612,0.27156,0.13217,2.23523,3.23599,1.92722,0.00802,0.00802,0.00802
22,2084.77,0.93683,2.63723,1.07903,0.35252,0.367,0.28435,0.10211,2.57198,3.45335,2.26781,0.007921,0.007921,0.007921
23,2168.64,0.93086,2.60012,1.07869,0.30375,0.09795,0.05696,0.0153,3.62472,4.83489,2.71595,0.007822,0.007822,0.007822
24,2251.41,0.92193,2.58801,1.0731,0.40552,0.48645,0.47965,0.29693,1.54946,2.62258,1.51023,0.007723,0.007723,0.007723
25,2334.55,0.92222,2.56734,1.07222,0.24706,0.2767,0.1929,0.06984,2.54403,3.31053,2.0613,0.007624,0.007624,0.007624
26,2417.66,0.93173,2.55789,1.07679,0.32668,0.27364,0.18991,0.07253,2.62681,4.41153,2.13931,0.007525,0.007525,0.007525
27,2502.28,0.91052,2.51718,1.06665,0.29616,0.31424,0.24729,0.12401,2.04455,3.58386,1.71589,0.007426,0.007426,0.007426
28,2584.75,0.91169,2.50036,1.06856,0.46729,0.44042,0.46665,0.22766,2.04632,2.70051,1.70497,0.007327,0.007327,0.007327
29,2667.66,0.89707,2.48764,1.06337,0.34991,0.38511,0.34877,0.17676,1.99521,2.91299,1.74303,0.007228,0.007228,0.007228
30,2751.37,0.89985,2.47126,1.06382,0.36622,0.42783,0.39374,0.18518,2.24356,2.90861,1.84786,0.007129,0.007129,0.007129
31,2835.51,0.89797,2.46615,1.06215,0.43341,0.39653,0.3962,0.19394,2.15369,2.84302,1.8273,0.00703,0.00703,0.00703
32,2921.65,0.8863,2.43777,1.06111,0.24589,0.21072,0.15985,0.04979,3.33086,4.82223,2.47956,0.006931,0.006931,0.006931
33,3006.26,0.88447,2.4256,1.05736,0.45168,0.45702,0.4571,0.23827,2.04064,2.93257,1.73408,0.006832,0.006832,0.006832
34,3090.31,0.885,2.41481,1.05777,0.468,0.47324,0.47234,0.23435,2.0287,2.74295,1.76136,0.006733,0.006733,0.006733
35,3175.97,0.87598,2.38924,1.05286,0.51183,0.40251,0.4318,0.2119,2.23234,2.84062,1.85052,0.006634,0.006634,0.006634
36,3260.69,0.88237,2.39091,1.05731,0.51585,0.58604,0.60929,0.43341,1.25152,2.06383,1.33684,0.006535,0.006535,0.006535
37,3346.11,0.86789,2.37809,1.05243,0.52075,0.46331,0.51457,0.33138,1.47961,2.35549,1.49544,0.006436,0.006436,0.006436
38,3455.66,0.86154,2.34913,1.04817,0.50028,0.52801,0.54536,0.34304,1.55003,2.33118,1.54603,0.006337,0.006337,0.006337
39,3540.89,0.86438,2.3293,1.04679,0.52196,0.34132,0.38397,0.18805,2.17444,3.27978,1.70849,0.006238,0.006238,0.006238
40,3622.26,0.85502,2.31875,1.04586,0.48405,0.50384,0.52122,0.29511,1.78806,2.57609,1.72309,0.006139,0.006139,0.006139
41,3703.68,0.86211,2.32828,1.04995,0.48045,0.52073,0.54023,0.28551,1.96647,2.27346,1.81515,0.00604,0.00604,0.00604
42,3784.61,0.85672,2.30492,1.04668,0.57682,0.52276,0.59398,0.39789,1.44914,2.07133,1.4764,0.005941,0.005941,0.005941
43,3866.11,0.84626,2.28699,1.04527,0.5064,0.48609,0.5017,0.32414,1.59523,2.42436,1.50462,0.005842,0.005842,0.005842
44,3946.99,0.83969,2.28139,1.04275,0.63844,0.58262,0.66389,0.40706,1.56407,1.75793,1.53737,0.005743,0.005743,0.005743
45,4027.56,0.83811,2.28028,1.04608,0.49337,0.44308,0.48724,0.29204,1.71764,2.24302,1.56131,0.005644,0.005644,0.005644
46,4108.44,0.82324,2.25608,1.03807,0.50252,0.48133,0.50879,0.30537,1.75698,2.31909,1.55711,0.005545,0.005545,0.005545
47,4189.35,0.83033,2.26545,1.0396,0.43444,0.52772,0.51946,0.35208,1.42928,2.14854,1.43377,0.005446,0.005446,0.005446
48,4269.84,0.82322,2.23064,1.03553,0.57612,0.64013,0.6746,0.43537,1.45193,1.71846,1.45961,0.005347,0.005347,0.005347
49,4350.43,0.82429,2.23427,1.03932,0.65244,0.63136,0.69544,0.46526,1.40034,1.71212,1.43678,0.005248,0.005248,0.005248
50,4430.86,0.82825,2.23325,1.03898,0.50865,0.62514,0.6334,0.38315,1.63649,2.0186,1.53703,0.005149,0.005149,0.005149
51,4511.32,0.83037,2.21793,1.04018,0.49182,0.51954,0.54437,0.27919,1.94368,2.22781,1.74976,0.00505,0.00505,0.00505
52,4591.41,0.81546,2.20444,1.03501,0.58525,0.62064,0.67775,0.49709,1.22881,1.67519,1.35346,0.004951,0.004951,0.004951
53,4672.12,0.81993,2.20252,1.03593,0.59963,0.67024,0.70357,0.48926,1.30903,1.57721,1.41088,0.004852,0.004852,0.004852
54,4752.71,0.81656,2.19337,1.03469,0.63554,0.62643,0.70601,0.4849,1.34957,1.5711,1.40417,0.004753,0.004753,0.004753
55,4832.83,0.81336,2.17833,1.03713,0.62675,0.67036,0.71702,0.49175,1.3293,1.54787,1.41797,0.004654,0.004654,0.004654
56,4913.02,0.81234,2.17729,1.03438,0.52751,0.6006,0.62913,0.38527,1.54862,1.92934,1.49962,0.004555,0.004555,0.004555
57,4993.61,0.80514,2.16951,1.02935,0.69581,0.58455,0.6897,0.43944,1.53037,1.6918,1.50512,0.004456,0.004456,0.004456
58,5074.07,0.81396,2.17707,1.03384,0.68267,0.60345,0.71526,0.44456,1.55731,1.66696,1.55379,0.004357,0.004357,0.004357
59,5154.74,0.8072,2.16323,1.03265,0.69096,0.64271,0.73093,0.48661,1.37212,1.55191,1.43341,0.004258,0.004258,0.004258
60,5235.3,0.80852,2.1666,1.03818,0.65878,0.63246,0.71774,0.46132,1.4468,1.60302,1.4929,0.004159,0.004159,0.004159
61,5316.09,0.79055,2.12365,1.02698,0.66838,0.6757,0.76339,0.53391,1.23567,1.47237,1.365,0.00406,0.00406,0.00406
62,5396.66,0.79029,2.12271,1.02854,0.626,0.66087,0.72648,0.47449,1.39845,1.5465,1.46564,0.003961,0.003961,0.003961
63,5477.16,0.78891,2.12639,1.02534,0.62951,0.68369,0.75254,0.531,1.24244,1.44314,1.37422,0.003862,0.003862,0.003862
64,5557.42,0.7841,2.11577,1.02514,0.66779,0.70944,0.77211,0.55615,1.19127,1.39974,1.34215,0.003763,0.003763,0.003763
65,5637.87,0.79111,2.10806,1.0282,0.61164,0.7185,0.76247,0.5552,1.15554,1.35975,1.33709,0.003664,0.003664,0.003664
66,5718.51,0.78376,2.116,1.02612,0.68678,0.72222,0.78436,0.55063,1.25057,1.32196,1.38452,0.003565,0.003565,0.003565
67,5798.99,0.78512,2.1036,1.02682,0.71012,0.70422,0.77874,0.53673,1.27612,1.31806,1.39516,0.003466,0.003466,0.003466
68,5880.47,0.78008,2.10135,1.02701,0.65057,0.69189,0.75157,0.51726,1.28931,1.3764,1.40732,0.003367,0.003367,0.003367
69,5961.46,0.77583,2.08339,1.02267,0.67357,0.6809,0.74887,0.52472,1.27509,1.42477,1.39196,0.003268,0.003268,0.003268
70,6042.12,0.77133,2.07665,1.02236,0.67798,0.69314,0.76856,0.5166,1.37986,1.44405,1.47068,0.003169,0.003169,0.003169
71,6122.69,0.76654,2.06234,1.02013,0.67879,0.69559,0.76245,0.53673,1.25282,1.41831,1.39602,0.00307,0.00307,0.00307
72,6203.33,0.78139,2.08339,1.02439,0.69607,0.71019,0.77391,0.55731,1.18753,1.3524,1.3366,0.002971,0.002971,0.002971
73,6283.97,0.76645,2.07576,1.02142,0.69563,0.71956,0.78049,0.55673,1.19404,1.34963,1.35662,0.002872,0.002872,0.002872
74,6364.32,0.76469,2.05816,1.01707,0.70959,0.72622,0.78881,0.56513,1.18913,1.30983,1.34749,0.002773,0.002773,0.002773
75,6445.23,0.76859,2.04295,1.0223,0.70661,0.6968,0.77475,0.56613,1.13786,1.33654,1.30515,0.002674,0.002674,0.002674
76,6526.27,0.75864,2.03547,1.01823,0.68858,0.70071,0.76633,0.54328,1.23799,1.38436,1.36471,0.002575,0.002575,0.002575
77,6607.34,0.75741,2.05782,1.01836,0.72754,0.73325,0.80065,0.59852,1.09769,1.28492,1.2985,0.002476,0.002476,0.002476
78,6688.39,0.73908,2.02179,1.01361,0.71317,0.71013,0.7906,0.56244,1.21781,1.33506,1.37635,0.002377,0.002377,0.002377
79,6770.93,0.74481,2.02966,1.01668,0.68074,0.72554,0.77466,0.53772,1.26479,1.39824,1.37774,0.002278,0.002278,0.002278
80,6852.04,0.74887,2.01915,1.01835,0.69312,0.70853,0.77672,0.54114,1.25713,1.38178,1.38058,0.002179,0.002179,0.002179
81,6932.86,0.74596,2.02141,1.0163,0.69435,0.70667,0.7799,0.5467,1.23819,1.38905,1.3787,0.00208,0.00208,0.00208
82,7014.35,0.74344,2.00788,1.01562,0.71542,0.72382,0.793,0.54916,1.27217,1.36477,1.4048,0.001981,0.001981,0.001981
83,7096.55,0.75565,2.0282,1.02345,0.68947,0.72354,0.79475,0.55553,1.24682,1.36986,1.38209,0.001882,0.001882,0.001882
84,7177.77,0.74199,1.99649,1.01732,0.6937,0.73081,0.79777,0.55593,1.25896,1.33961,1.39404,0.001783,0.001783,0.001783
85,7258.94,0.74143,2.02023,1.01691,0.70833,0.73006,0.79683,0.55908,1.23272,1.34968,1.36392,0.001684,0.001684,0.001684
86,7340.42,0.73677,2.0015,1.01497,0.72797,0.70536,0.80095,0.56645,1.20164,1.32665,1.34328,0.001585,0.001585,0.001585
87,7421.72,0.73165,1.99163,1.01267,0.72166,0.73161,0.80896,0.55366,1.27762,1.34582,1.39759,0.001486,0.001486,0.001486
88,7503.16,0.72972,1.9938,1.01082,0.69104,0.73548,0.7942,0.54631,1.28324,1.37278,1.40197,0.001387,0.001387,0.001387
89,7584.3,0.73211,2.00045,1.01474,0.71145,0.72955,0.79713,0.55222,1.269,1.35905,1.39226,0.001288,0.001288,0.001288
90,7666.07,0.71989,1.98549,1.01013,0.68156,0.74529,0.79468,0.5615,1.22427,1.3372,1.36386,0.001189,0.001189,0.001189
91,7747.71,0.32985,0.88731,0.93815,0.75997,0.77313,0.85107,0.65184,1.03304,1.34864,1.26569,0.00109,0.00109,0.00109
92,7828,0.2725,0.78472,0.92439,0.74658,0.81637,0.86228,0.71623,0.8433,1.22475,1.17196,0.000991,0.000991,0.000991
93,7908.4,0.25744,0.7461,0.92167,0.78827,0.80259,0.86956,0.74807,0.72971,1.11983,1.12718,0.000892,0.000892,0.000892
94,7989.15,0.25149,0.73076,0.91653,0.77888,0.81397,0.87313,0.75932,0.68781,1.07619,1.11376,0.000793,0.000793,0.000793
95,8070.38,0.24431,0.71355,0.92106,0.78285,0.8191,0.87482,0.7663,0.65995,1.04805,1.10446,0.000694,0.000694,0.000694
96,8151.88,0.24006,0.69585,0.91752,0.78563,0.82343,0.87838,0.7762,0.64074,1.01968,1.10003,0.000595,0.000595,0.000595
97,8233.94,0.23614,0.68936,0.91659,0.78185,0.82074,0.87953,0.78392,0.61847,0.99949,1.0944,0.000496,0.000496,0.000496
98,8316.94,0.23233,0.67722,0.91674,0.81706,0.80652,0.88183,0.78968,0.60399,0.98749,1.09017,0.000397,0.000397,0.000397
99,8397.58,0.22783,0.66406,0.91599,0.83612,0.78864,0.88109,0.79249,0.59335,0.97486,1.08766,0.000298,0.000298,0.000298
100,8476.53,0.22535,0.66182,0.91638,0.84133,0.78578,0.88122,0.79637,0.58781,0.96963,1.08643,0.000199,0.000199,0.000199
